periods,nn_pred_mean,nn_pred_median,nn_pred_l25,nn_pred_u75
1990.0,-3.7382603589588683,-3.5240053400531544,-3.7621944151124938,-3.4607062308936594
1990.1,-3.7350070649653393,-3.523760415311746,-3.753324331441564,-3.4606392192255786
1990.2,-3.731735559893659,-3.523449510544927,-3.7467911130599503,-3.460886083423991
1990.3,-3.728450259914354,-3.5232824285866924,-3.7432946066198367,-3.4612420477226014
1990.4,-3.725153228073912,-3.5228311635319454,-3.737696790056776,-3.4612518640223744
1990.5,-3.721843129073477,-3.5227195773632944,-3.7332997824509895,-3.4616784826347677
1990.6,-3.7185175916683315,-3.52253249262859,-3.729016917004177,-3.4621633730059065
1990.7,-3.715175644514493,-3.5218589803063716,-3.7246433877080185,-3.4624289669708586
1990.8,-3.711818013075779,-3.5217129887504224,-3.7197996612797786,-3.4625240139923683
1990.9,-3.7084462661387696,-3.521338789238598,-3.7158197279324754,-3.4629863804389345
1991.0,-3.7050620337720104,-3.52110086494775,-3.709952075342075,-3.463247303668058
1991.1,-3.7016666040247364,-3.5207735943542215,-3.707304464308139,-3.463145170522086
1991.2,-3.6982607592448686,-3.5202251995948304,-3.7012508243736963,-3.4634768926893864
1991.3,-3.6948447018767627,-3.519629193079315,-3.695789282767919,-3.463710308448822
1991.4,-3.691418039953072,-3.5193148494948274,-3.691380158760622,-3.463640217780588
1991.5,-3.6879798931211596,-3.5190648353745706,-3.687432908002919,-3.463854042428481
1991.6,-3.684529211282282,-3.5185923681513183,-3.683811879926902,-3.4640299254207427
1991.7,-3.681065367574599,-3.5181151571545635,-3.679775303977447,-3.4641566451910584
1991.8,-3.6775889127396146,-3.517496542383221,-3.6766478168038503,-3.464221594251268
1991.9,-3.674102051316047,-3.5169822668356834,-3.6732841005800614,-3.4641889325558566
1992.0,-3.6706082500227937,-3.5163295306276128,-3.66943057031427,-3.464373442936802
1992.1,-3.6671109198400655,-3.515958095827238,-3.6658886645904,-3.46458423966623
1992.2,-3.6636121585207757,-3.5152245335347265,-3.662825814842811,-3.4650269293138733
1992.3,-3.660112672726484,-3.5144857443778665,-3.6596030791497394,-3.4650953607125046
1992.4,-3.656612694692231,-3.5139619506289432,-3.655889656840856,-3.4651680456928116
1992.5,-3.653112894928235,-3.5133949006411718,-3.652489034356661,-3.4651003434965695
1992.6,-3.649614795028712,-3.512893982507797,-3.6490100870693385,-3.465210637475462
1992.7,-3.6461207709926087,-3.5122052552669767,-3.644143993827188,-3.4652182517391137
1992.8,-3.6426338744307496,-3.5117199951873936,-3.6396782508562335,-3.46511509630466
1992.9,-3.6391576512656303,-3.511287832540257,-3.634935647414167,-3.465097385361221
1993.0,-3.635696011080558,-3.51093788635876,-3.630943021323528,-3.4649698480988356
1993.1,-3.6322530261917074,-3.510610894333331,-3.6273650362322263,-3.4651454619483073
1993.2,-3.6288324843654527,-3.5102009468146473,-3.624030758314626,-3.465297294700296
1993.3,-3.625437213179014,-3.5095378512182513,-3.6200158797375006,-3.465503705250912
1993.4,-3.622068452618823,-3.5089498524901788,-3.6168860967506045,-3.46544599172232
1993.5,-3.6187255801177,-3.5084651484481393,-3.613491594632203,-3.465711095351378
1993.6,-3.615406357678713,-3.507846124393759,-3.6094801517242168,-3.465768451200432
1993.7,-3.6121076726727246,-3.507633037562482,-3.605795879419994,-3.4659227058144366
1993.8,-3.608826469078815,-3.5072657751267355,-3.6023043044004974,-3.465840467679434
1993.9,-3.605560488758573,-3.506820843492611,-3.5980201487374877,-3.465914457539222
1994.0,-3.602308494506338,-3.5061059793794707,-3.5945507385052884,-3.4661345993306636
1994.1,-3.5990698276472965,-3.505820173120865,-3.591087283930449,-3.466231841217541
1994.2,-3.595843806028537,-3.5051586326808515,-3.5885787239840794,-3.4662432882982928
1994.3,-3.592629708222838,-3.5047097514905667,-3.5860335676374335,-3.466368652007027
1994.4,-3.589427282078507,-3.504266983953852,-3.5829523113547417,-3.466223294261175
1994.5,-3.586237128494282,-3.5035983902024546,-3.58017447893886,-3.4663798104634833
1994.6,-3.5830603663995064,-3.503053190883089,-3.5772770408162455,-3.4664535072945277
1994.7,-3.5798974403170054,-3.502687486431035,-3.574897116100955,-3.4665044613468536
1994.8,-3.576747334316716,-3.502194511762746,-3.572441381443152,-3.4666237197717003
1994.9,-3.573608731940603,-3.501619790130837,-3.570215513285244,-3.4668508179480924
1995.0,-3.5704822404656134,-3.5012402762455617,-3.567856518867868,-3.4668837458422512
1995.1,-3.5673707182874113,-3.500631300532647,-3.565712046025114,-3.467068022016719
1995.2,-3.5642775521164456,-3.5000682575651365,-3.5633370983514467,-3.4673521049121487
1995.3,-3.561206381571265,-3.499762671540865,-3.5608365946370704,-3.4675353920916487
1995.4,-3.558162345808337,-3.4992124058189167,-3.5587326787222318,-3.467700717447938
1995.5,-3.555152695356106,-3.4987436012115234,-3.55665827133654,-3.4679207199208664
1995.6,-3.5521857593312673,-3.498223452483417,-3.555186258109778,-3.468100080337901
1995.7,-3.549266875327137,-3.49772505897399,-3.553331873549809,-3.4681237215936838
