periods,nn_pred_mean,nn_pred_median,nn_pred_l25,nn_pred_u75
1990.0,-1.5299642745219177,-1.5305931229829814,-1.6245320939470966,-1.495593314208059
1990.1,-1.5293266424237129,-1.5301447082823936,-1.6225956758101976,-1.4955213839846317
1990.2,-1.5286971871876485,-1.5300181509440878,-1.6201533564258632,-1.4953232526011706
1990.3,-1.5280756327911316,-1.5299155961502098,-1.6178769236388186,-1.4952241242568576
1990.4,-1.5274617647955253,-1.5296995355163021,-1.6156467283868652,-1.4952503183289234
1990.5,-1.5268553806467133,-1.5293139679243632,-1.6135376414915672,-1.4951864869630787
1990.6,-1.5262562613593857,-1.5287982536462426,-1.6114499895539725,-1.4950565347074745
1990.7,-1.5256641643097275,-1.5284144495874026,-1.6098608895513316,-1.4950850836032545
1990.8,-1.5250788276144485,-1.5281768453630675,-1.6081430619652444,-1.495032213169826
1990.9,-1.5245000193003904,-1.5277841632643203,-1.6060016983416685,-1.4950642751927317
1991.0,-1.5239276512423352,-1.5276038211619625,-1.604487778406439,-1.4949954490584225
1991.1,-1.523361892952451,-1.5274041428616765,-1.602278905840182,-1.4948196034914332
1991.2,-1.5228031938255706,-1.526997563424019,-1.600456661290993,-1.4947445185462156
1991.3,-1.5222521864539962,-1.5266558609445864,-1.5990208202105982,-1.494683408134426
1991.4,-1.521709494962438,-1.5263521902673718,-1.5977555961049779,-1.4946764194286726
1991.5,-1.5211755046790802,-1.5261915839445717,-1.5959593150765827,-1.494613320407399
1991.6,-1.5206502139074407,-1.5258750092795828,-1.59374800517249,-1.4945889386285174
1991.7,-1.5201332984444347,-1.5257350474523794,-1.5924360849145773,-1.4946197149028098
1991.8,-1.5196243615803977,-1.52538396566626,-1.591788909466482,-1.4945463800959287
1991.9,-1.519123175723716,-1.5249898334651337,-1.5902976520295324,-1.4945344841295585
1992.0,-1.5186298002653609,-1.5244846299444377,-1.5888691249989375,-1.4944441196387135
1992.1,-1.5181446067477673,-1.5242171570005736,-1.5872370239339,-1.4944106950999452
1992.2,-1.5176681892688968,-1.523979454869672,-1.5857906327487297,-1.4943539667215813
1992.3,-1.517201128396118,-1.5236374413541336,-1.5846926446597092,-1.4943582821344354
1992.4,-1.5167437659871152,-1.5233810006252955,-1.5834342358714415,-1.4943151201176725
1992.5,-1.5162961850734489,-1.5230530349474092,-1.5823814800164453,-1.4941870323659692
1992.6,-1.515858362975464,-1.5227862114044555,-1.5813157517108067,-1.4940671546738682
1992.7,-1.5154302811051674,-1.5224506778008267,-1.5803455321207627,-1.4941115219007575
1992.8,-1.5150118287481829,-1.5221692935717774,-1.579333499199111,-1.4940487328012022
1992.9,-1.514602558892972,-1.5217595960142645,-1.5785128676062454,-1.4939409281818445
1993.0,-1.5142015190997933,-1.5215098035607637,-1.5776784678581088,-1.4938219547413805
1993.1,-1.5138073579190279,-1.5210093565530483,-1.5766286188191214,-1.4937068682950596
1993.2,-1.5134187410018303,-1.5207322297923436,-1.575418754424088,-1.4935599018541357
1993.3,-1.5130348879136113,-1.5203610227316546,-1.574401017804185,-1.493402644600641
1993.4,-1.512655890936223,-1.5200212055543334,-1.5733802691001797,-1.493388217232408
1993.5,-1.5122825869826784,-1.5195839297356784,-1.5725160280658732,-1.4933368759097165
1993.6,-1.5119161099468093,-1.519416765973565,-1.571613255183354,-1.493217423073743
1993.7,-1.5115574607684588,-1.5190606447086406,-1.5703967448938092,-1.4930511890944744
1993.8,-1.5112072452061938,-1.5188640637523303,-1.5694238278906867,-1.4928798996655794
1993.9,-1.5108656173404797,-1.518393824297343,-1.5682349456908449,-1.4928771149876099
1994.0,-1.5105325442580784,-1.5180122652671761,-1.5673623646624837,-1.49282977027435
1994.1,-1.5102082599092608,-1.5176186743167335,-1.5660936833072159,-1.4928025884586709
1994.2,-1.5098935125438422,-1.5172812640746387,-1.5654883018509012,-1.4927871630280096
1994.3,-1.5095893748932292,-1.5168885129232133,-1.564501351733242,-1.492639550221059
1994.4,-1.5092968200203971,-1.516500769134475,-1.5632594120014065,-1.492363590017232
1994.5,-1.509016439469693,-1.5160739522422717,-1.5617373559645629,-1.4922710160976977
1994.6,-1.5087485482656944,-1.5157035551255071,-1.560738896618661,-1.492302286092172
1994.7,-1.5084936300428324,-1.5153248303798328,-1.559434207047308,-1.4921146559023368
1994.8,-1.5082525369584363,-1.5149955809495206,-1.557970791614744,-1.4919892959884962
1994.9,-1.5080260164109982,-1.5146648509700193,-1.5565922868986781,-1.491836651705167
1995.0,-1.5078140917619423,-1.5143339185291174,-1.5551606677084502,-1.4916866775828441
1995.1,-1.507616144682897,-1.51389100917333,-1.5540550911177184,-1.4916224524969914
1995.2,-1.5074315957432334,-1.5135165187891158,-1.5531418053464583,-1.491600550379673
1995.3,-1.5072602020121075,-1.513246121798787,-1.5519777261292438,-1.491562737482867
1995.4,-1.5071019070694112,-1.5129019325544037,-1.5509503579928796,-1.4914235001877012
1995.5,-1.506956710664031,-1.5125441147749714,-1.5502463842525784,-1.4914025566034501
1995.6,-1.5068245837123604,-1.5121929424735554,-1.5491074739720954,-1.4912146062892557
1995.7,-1.5067056038298219,-1.511845483474944,-1.5482135720327177,-1.491197614560291
1995.8,-1.5066001402473426,-1.5114323157490945,-1.54734969632598,-1.491186013415835
1995.9,-1.5065083689198588,-1.511141115754592,-1.5460624574949267,-1.4911204450859117
1996.0,-1.5064293451558821,-1.5106859781635409,-1.5452670363608434,-1.4911213740137816
1996.1,-1.5063607660975082,-1.5103201683425491,-1.5441519843583924,-1.4910015625011095
1996.2,-1.5063000625396787,-1.510039628106303,-1.5433728299470073,-1.4909253230753508
1996.3,-1.5062462321990717,-1.5095959841504962,-1.5423586828229947,-1.4909306467069292
1996.4,-1.5062006093981044,-1.509195438871231,-1.541542224021397,-1.491005309567297
1996.5,-1.5061658941438603,-1.5088125702845674,-1.5405348721652488,-1.4910214833133169
1996.6,-1.5061449349714053,-1.5084487326280784,-1.53974597725124,-1.491023149252002
1996.7,-1.50614023931218,-1.5080481059239494,-1.538789693572589,-1.4909980086574546
1996.8,-1.50615385059497,-1.5077851891757694,-1.5379291567371856,-1.491100241305315
1996.9,-1.506187277397544,-1.507414284015835,-1.5369777135281737,-1.4911968700220433
1997.0,-1.5062414941185136,-1.5070901680116808,-1.5363537306561015,-1.4912897798818983
1997.1,-1.5063169686907125,-1.506993378039758,-1.535347073825509,-1.4913483178176419
1997.2,-1.5064137583282762,-1.5068344223231256,-1.5345755106483174,-1.4913653490803456
1997.3,-1.5065317525446635,-1.506520432137471,-1.5336955526709484,-1.4914185821738117
1997.4,-1.506670749936187,-1.506283935104088,-1.5327027776836935,-1.4915764650154066
1997.5,-1.5068301091203402,-1.5059630879099157,-1.5319805083263651,-1.4916350735472432
1997.6,-1.5070084919139883,-1.5057030353831253,-1.5314241877325647,-1.4917842700877995
1997.7,-1.507204211803999,-1.5054225125901337,-1.530613222037058,-1.4919209848412076
1997.8,-1.50741569623464,-1.5051938054145744,-1.530180255543278,-1.4920640236817768
1997.9,-1.5076415063225275,-1.5049963868976306,-1.5294540383327768,-1.4922429657103886
1998.0,-1.5078801859042996,-1.504849217573854,-1.5287243682977512,-1.4924128823666516
1998.1,-1.5081298137081827,-1.504735156272347,-1.5282104929574896,-1.4926808306274995
1998.2,-1.5083869637806544,-1.5045652819677728,-1.5276245733241007,-1.4928881304866704
1998.3,-1.5086460605649181,-1.5043173338707285,-1.5271052478067735,-1.4931129358767778
1998.4,-1.508900790539647,-1.5041356873307405,-1.5264961891394926,-1.493392197432195
1998.5,-1.5091474378355627,-1.5040508783951207,-1.5259819659938805,-1.4936794578538104
1998.6,-1.509386128836003,-1.5039058811680106,-1.5254621437712357,-1.4940705732020412
1998.7,-1.5096179211224552,-1.5038799687851305,-1.5248280619176835,-1.4944701424719566
1998.8,-1.509842530853188,-1.5037525362511897,-1.5244488368025575,-1.49488679190547
1998.9,-1.5100615758648002,-1.503635016873538,-1.5239832582271755,-1.4953089030237392
1999.0,-1.5102813774125674,-1.5035827630162415,-1.5235727498245402,-1.4958093213601422
1999.1,-1.510509503045691,-1.503539199204021,-1.5230312782191298,-1.4962458132155434
1999.2,-1.5107518568542464,-1.503546743512666,-1.5225430569231708,-1.496715973684883
1999.3,-1.5110123897049559,-1.5035798519611903,-1.5221502195105574,-1.4972200385758638
1999.4,-1.5112925144006004,-1.5035823216273152,-1.5216818790047466,-1.49773256648322
1999.5,-1.5115909523654751,-1.5036133099835813,-1.5213525857925547,-1.498252903208701
1999.6,-1.5119046108613587,-1.503661082024558,-1.5210047266432798,-1.4988644809189582
1999.7,-1.5122294802389853,-1.5037086550851344,-1.5207676270272086,-1.4994688368636415
1999.8,-1.512561170644834,-1.503733890720643,-1.5208539157903864,-1.500093223894234
1999.9,-1.512895352907263,-1.5038905874375388,-1.520830513595399,-1.5007706292311422
2000.0,-1.5132286210318253,-1.504175000933678,-1.5209558528347074,-1.5014776712550613
2000.1,-1.5135604252827337,-1.5047616064858325,-1.5211098511784378,-1.5019343616629597
2000.2,-1.5138950702297433,-1.5054165232358088,-1.5214803749678383,-1.502371922614428
2000.3,-1.514239670756311,-1.5061586102436828,-1.5220223986522017,-1.5027861245492682
2000.4,-1.514598073335421,-1.506886620662214,-1.52247193588919,-1.5031807000152098
2000.5,-1.514968314738486,-1.5076521723002327,-1.5226887316439062,-1.5036911227705727
2000.6,-1.515345206352401,-1.5084111441561652,-1.5230006224764894,-1.504079492810858
2000.7,-1.5157240240056278,-1.5091731862789626,-1.5231412300868337,-1.504561642979722
2000.8,-1.5161029393966832,-1.5099753714026414,-1.5232924905710674,-1.5050402515846009
2000.9,-1.5164829949723941,-1.5107270564091737,-1.5234944256458258,-1.505543242918847
2001.0,-1.51686603253041,-1.5114853577088558,-1.5237313174713552,-1.5060174831339321
2001.1,-1.5172532307722673,-1.512252668569311,-1.5239247054967495,-1.5065464319005075
2001.2,-1.5176453100158327,-1.5130112468981258,-1.5241047617110794,-1.507130678530305
2001.3,-1.5180425448588382,-1.5137314591643125,-1.5243787184741968,-1.5077093608447727
2001.4,-1.5184445197683087,-1.5144505579818237,-1.5247582790841203,-1.5083087321385067
2001.5,-1.5188503848496722,-1.515090801053834,-1.5251566611608873,-1.5088980084403067
2001.6,-1.5192593195477395,-1.515793610250138,-1.5254724783237712,-1.5094458200415617
2001.7,-1.519671114837502,-1.5164361614615247,-1.525799430628323,-1.5100780503765654
2001.8,-1.5200863061424885,-1.5170576692071125,-1.526200849455969,-1.5107066843454215
2001.9,-1.5205053693543762,-1.5177304411027364,-1.5266294308927537,-1.51130966554421
2002.0,-1.520928194935036,-1.518432370348746,-1.527102444319276,-1.5119015945546816
2002.1,-1.521354263099671,-1.519133446237123,-1.5275779357579486,-1.512563611152084
2002.2,-1.5217825498723248,-1.519795321593044,-1.527962328468261,-1.5131350006229378
2002.3,-1.5222115253262056,-1.520503313741318,-1.5283391880199146,-1.5137872336072016
2002.4,-1.522639926517722,-1.521194429945562,-1.528841822609524,-1.5144371878683103
2002.5,-1.5230673802534542,-1.521865055928942,-1.529402778521377,-1.5150884917620857
2002.6,-1.5234942919895216,-1.5225218395270446,-1.5298900128964616,-1.5156252424781766
2002.7,-1.5239216209309163,-1.5231877331511896,-1.530330587275505,-1.5161389185649008
2002.8,-1.5243506846657104,-1.5238645257830525,-1.5308759461267798,-1.516659905939703
2002.9,-1.5247828689664376,-1.5245525153670352,-1.5313773204708283,-1.5172882954087592
2003.0,-1.5252193729185957,-1.5252074725372413,-1.5318996031165582,-1.5178920200172847
2003.1,-1.5256611018431259,-1.525867921898204,-1.5324130095269481,-1.518514844482068
2003.2,-1.5261086806120534,-1.526523919182412,-1.5328359910724916,-1.5191686159902877
2003.3,-1.5265625159130571,-1.5271730791086702,-1.533332958340624,-1.5197334309147292
2003.4,-1.5270228614692867,-1.5277946916602694,-1.5338076150041864,-1.5204048492079196
2003.5,-1.5274898692569125,-1.5284651223385808,-1.5343078076454066,-1.5209938566494474
2003.6,-1.5279636249758144,-1.529117931874354,-1.5347269025100005,-1.5216868455387071
2003.7,-1.5284441708095895,-1.5298209320186769,-1.5351991016636273,-1.5223873371982186
2003.8,-1.528931518257148,-1.5304822764902204,-1.5356539788870847,-1.5229779802938586
2003.9,-1.5294256552407244,-1.5311304291504286,-1.536074497477052,-1.523662071961565
2004.0,-1.5299265533257085,-1.5317973343000053,-1.5365420941073722,-1.5242168841272246
2004.1,-1.5304341751020931,-1.532451309843187,-1.5369551010223579,-1.5249468456636954
2004.2,-1.5309484725029738,-1.5331181290155553,-1.5373966556149288,-1.5255928966107084
2004.3,-1.5314693651707438,-1.5338339518534418,-1.537841336203083,-1.5262177501804186
2004.4,-1.5319966933238462,-1.5345087148435201,-1.5382671018587168,-1.5268436955244087
2004.5,-1.5325301442449188,-1.5351526433541514,-1.5386822757457201,-1.5275133923868607
2004.6,-1.5330691545543242,-1.53582560469597,-1.5390714886292407,-1.5282104878914715
2004.7,-1.5336127966314286,-1.536481657184323,-1.539508622247093,-1.5288429183172074
2004.8,-1.5341596700058455,-1.53710966817128,-1.5398743660905092,-1.5293856260583916
2004.9,-1.534707834916495,-1.5377880962768709,-1.5403133365140702,-1.5302079960141017
2005.0,-1.535254834677694,-1.538459423574746,-1.5408734288811852,-1.5309930057419454
2005.1,-1.5357978358731734,-1.5390084162379405,-1.5416134641265669,-1.531450361758334
2005.2,-1.5363338640221829,-1.539453182350224,-1.5423485039956182,-1.5318713963454607
2005.3,-1.5368600634728407,-1.5398593569128665,-1.5430867840631362,-1.5322032537049595
2005.4,-1.5373739092538223,-1.5402441383067151,-1.5437522275990294,-1.532467099491393
2005.5,-1.537873339559205,-1.5406491918961156,-1.5444111490322419,-1.532789379214225
2005.6,-1.5383568182074168,-1.541016728146152,-1.5449996203559575,-1.5330436374608514
2005.7,-1.5388233510157143,-1.541380754738837,-1.545588666948397,-1.5332743724491655
2005.8,-1.5392724723030702,-1.5417233229401617,-1.5461427999795418,-1.5335194162429362
2005.9,-1.5397042046678748,-1.5420627210561353,-1.5467101918400181,-1.5338347324155928
2006.0,-1.5401189909572448,-1.5423995636734937,-1.5472460755884363,-1.5340533707961528
2006.1,-1.5405176039220279,-1.5427264824531974,-1.5477319979943274,-1.5342794332450684
2006.2,-1.5409010475187241,-1.5430406215897492,-1.5482163394578454,-1.5345465031550098
2006.3,-1.5412704654721718,-1.5433620510767496,-1.5486799248611538,-1.5348328142412055
2006.4,-1.541627066879947,-1.5436354328206567,-1.5490716127276394,-1.535097771562667
2006.5,-1.5419720701890451,-1.5439252175546705,-1.5494905674773163,-1.5353740058855385
2006.6,-1.542306660732264,-1.5442101613355173,-1.549874575866331,-1.5356411748421879
2006.7,-1.542631955964946,-1.5444772412411565,-1.5502657956878212,-1.535884243081741
2006.8,-1.5429489766191773,-1.544730889540861,-1.5506423913357867,-1.5361056573522665
2006.9,-1.5432586275045626,-1.5449770734103052,-1.5509283804028535,-1.5364083446779804
2007.0,-1.543561692734358,-1.5452287598524792,-1.551211870825661,-1.5366443245717134
2007.1,-1.543858844556774,-1.5454831821719934,-1.5514851011086306,-1.5369166970427657
2007.2,-1.5441506582205777,-1.5457061581616491,-1.5517509276446004,-1.53721765208331
2007.3,-1.5444376247395062,-1.5459483905859768,-1.5519954277121852,-1.5375436587364435
2007.4,-1.5447201589460897,-1.5461582022627927,-1.55222525956938,-1.5378618196077471
2007.5,-1.5449986053082005,-1.5464026145981438,-1.5524511637615361,-1.5382191039001158
2007.6,-1.5452732445162796,-1.546615620091617,-1.5526376742608314,-1.5385481014499665
2007.7,-1.5455443013081274,-1.5468291311039897,-1.5528486698918946,-1.5389065920690779
2007.8,-1.5458119514289335,-1.5470311596274986,-1.5530607479559781,-1.5392659489406824
2007.9,-1.5460763247794949,-1.547266200119277,-1.5532124903143283,-1.5396474773629485
2008.0,-1.546337503306131,-1.5474742108753223,-1.553324565606791,-1.5400012727058563
2008.1,-1.5465955155058835,-1.5476768056938466,-1.5535096940837843,-1.540377220954361
2008.2,-1.5468503326541083,-1.5478756629054637,-1.5536070922607286,-1.5407055220965873
2008.3,-1.5471018730070873,-1.5480932009639765,-1.5537321240107735,-1.5411312726209203
2008.4,-1.547350018905506,-1.5483004658482817,-1.5538122233559994,-1.541487469260429
2008.5,-1.547594648873505,-1.5485142617492114,-1.5538880274617766,-1.5418581892141776
2008.6,-1.5478356831717826,-1.5487220099095418,-1.5539936313213345,-1.5422711821619466
2008.7,-1.5480731369677698,-1.5489532219107602,-1.554091013967136,-1.5426644117047899
2008.8,-1.548307171184664,-1.549144002761979,-1.5541620368651359,-1.5430476937996525
2008.9,-1.5485381292239402,-1.549358932070859,-1.5542187912423513,-1.5434341601320238
2009.0,-1.548766549948561,-1.5495578502135468,-1.554281334840369,-1.5438820131522646
2009.1,-1.5489931533726227,-1.549788744370019,-1.5543257608281307,-1.5442688920303216
2009.2,-1.5492188029771143,-1.5499699598390189,-1.5542864962350738,-1.5446918025950043
2009.3,-1.5494444543244374,-1.5501957792202912,-1.5543145251731105,-1.5451392003590692
2009.4,-1.5496711017267621,-1.5504125452009716,-1.5543583326684585,-1.5455633880407746
2009.5,-1.549899733099527,-1.550635989445398,-1.5543792832997916,-1.5460070219343278
2009.6,-1.5501312991647083,-1.550850919373017,-1.5543500704530757,-1.546446419973466
2009.7,-1.5503666986643767,-1.5510657041728806,-1.554359176013367,-1.5468259577979384
2009.8,-1.5506067776631514,-1.5512906670934294,-1.5543633104871957,-1.5472011815253195
2009.9,-1.5508523390368776,-1.5515129436519628,-1.5543446403235315,-1.5475488574783527
2010.0,-1.5511041577506013,-1.551689342289275,-1.5544510136836647,-1.5478906257656095
2010.1,-1.5513629979749979,-1.5518236175505158,-1.5546536633047336,-1.5480628696857017
