iteration,chain,parameters[1],parameters[81],parameters[161],parameters[241],parameters[321]
6250,1,0.5766774666880495,-0.8027253917983839,-2.7494237195240308,0.49095443842280384,-0.38739833079677827
6251,1,0.6393282591858344,-0.7468973522627813,-2.684620139157179,0.6454635270324194,-0.38706128302445425
6252,1,0.45094763592210957,-0.9571526398919784,-2.4554436126653436,0.7977075293774749,-0.354193693913715
6253,1,0.4972677108602103,-1.289933969654941,-2.4241997078163444,0.6305195108898201,-0.3198275388327031
6254,1,0.36456760069852434,-1.462554652754639,-2.3549202797784514,0.6757777322518748,-0.31993261240607535
6255,1,0.19785496254261214,-1.0416761443680609,-2.3401528921900376,0.3802567512754689,-0.3355118541914199
6256,1,-0.07042768864938241,-0.8896842236996961,-2.262605848380942,0.5826852194695994,-0.3239407533807836
6257,1,-0.06669214549616168,-0.8554408509820499,-2.269801692423796,0.6003099518003671,-0.31330892650792674
6258,1,-0.03697806645371636,-0.8949167330991536,-2.199831484429317,0.6930243079350675,-0.3076823777759148
6259,1,-0.002363796615417067,-0.8940576896712525,-2.2207834099552866,0.7611004454276012,-0.3193026761178416
6260,1,-0.06190837007735372,-1.139139609022274,-2.2879404091051536,0.45155401212130714,-0.3116972215467685
6261,1,-0.25283681970027483,-1.2474920493414499,-2.4955355628139073,0.5229286379052067,-0.3060388514578224
6262,1,-0.34048502796927826,-0.7820006393727302,-2.494027646910832,0.2620324443996218,-0.3577783331072269
6263,1,-0.21814533952757417,-0.8907863854073182,-2.575408800877105,0.3239544833269513,-0.37285465559947206
6264,1,-0.006833207364733518,-0.9173851817510406,-2.8336507259917503,0.37003812701435423,-0.41912053269677585
6265,1,-0.012478315805914955,-0.7746966453301808,-2.8817359607841713,0.31176913603837975,-0.4099726677803667
6266,1,-0.6457978776953694,-0.7161596678917446,-2.9980598074387412,-0.035761891991286696,-0.3768268280960864
6267,1,-0.8266998517120457,-0.8001415843084193,-3.01809353673095,0.26806794365594866,-0.37076131848796157
6268,1,-0.7178382647735909,-0.7035117854629127,-3.0426153916125136,0.2849854223671175,-0.3729456985851074
6269,1,-0.6837594303447126,-0.7305010589878702,-2.857414369942263,0.6592464139015134,-0.3505400991687258
6270,1,-0.47711724863129273,-0.8420028773681559,-2.7489180712292636,0.9186341311849969,-0.3772584362353159
6271,1,-0.5248976230192935,-0.9314189497907288,-2.7160881778911015,0.9314133486804973,-0.37668797326649345
6272,1,-0.38464466805088965,-1.011787362390503,-2.688448270449844,0.9364995396024757,-0.4040663675456322
6273,1,-0.4014931496557162,-1.0729067672407862,-2.664807687360644,1.0442816300482152,-0.4054899473572223
6274,1,-0.440519299562981,-0.9705316089081619,-2.605991701151088,1.09064429435226,-0.3990759154040748
6275,1,-0.25102958086274074,-1.2616074819788639,-2.612723866130536,0.9189429740940617,-0.3758927487080407
6276,1,-0.3642881465558907,-1.056700745389855,-2.509640570743672,0.6469553862036291,-0.41488268793357397
6277,1,-0.06229939831972363,-1.4499297052222728,-2.3999070677950685,0.7076454229629711,-0.4154049762781897
6278,1,0.196570935333505,-1.6356621826803766,-2.4054007146501952,0.6380480157400809,-0.36695789251998157
6279,1,0.14923412885260326,-1.7581393043668347,-2.323749560559681,1.001415966389841,-0.3754975784265454
6280,1,0.2244158210662117,-1.7269885240778347,-2.335707984629478,1.255535103944665,-0.4089327501908232
6281,1,0.24922911321696234,-1.675502360578197,-2.3691630096880334,1.1835948528300408,-0.4041798282840453
6282,1,0.21863875700468735,-1.5572495649392895,-2.3867089158172465,1.1304665607940336,-0.40924585691159604
6283,1,0.19727823129779054,-1.4598288321186803,-2.5613001647463705,0.8823750568941169,-0.42021363609888474
6284,1,0.5193257603422149,-1.4603100831674407,-2.680403909006273,1.0404620280161667,-0.442667305721909
6285,1,0.396421391319515,-1.4254712003195016,-2.591761156789813,0.8736371487861841,-0.4225029707610304
6286,1,0.3331247657856252,-1.4281618183660403,-2.6300765884550947,0.9156014680670299,-0.4164508349738484
6287,1,0.5066717337052852,-1.5679425316093742,-2.6116006514627577,0.9325294398732962,-0.41012799583491766
6288,1,0.4580972483456879,-1.765195049329934,-2.3665277971527092,0.7970691048657818,-0.4617595985413506
6289,1,0.45603285903113056,-1.6771968110892481,-2.4922621575477004,0.8637039392188175,-0.4208585657116959
6290,1,0.5054661189498612,-1.3963306334548031,-2.637458359084374,0.9227733964516635,-0.40670080533606173
6291,1,0.05947679616192983,-0.995597976270907,-2.6873621964132304,1.1406975897344065,-0.3990245490747436
6292,1,0.09955191312603412,-0.9187723726405733,-2.7340294443739626,0.9406184246840097,-0.4182869587538389
6293,1,0.21216345899678635,-0.8316183862250711,-2.6908901227797584,0.9683193038822981,-0.42236690678769595
6294,1,0.10598017924108782,-1.1848827735219423,-2.8240287149141277,1.1380247784325266,-0.38658242300950374
